"mon_feature_id","sample_begin_date","sample_begin_time","sample_begin_depth","result_num_value","mon_feature_name"
89009,1994-08-08,"09:07:00",0,10,"ZWOWO06 EASTERN WOES-ALLEEN MINE DAM ON WOESTALLEEN 477 J"
89012,1993-11-15,"10:04:00",0,4,"ZZEZE01 ZEVENFONTEIN SPRUIT AT ZEVENFONTEIN 484 JS (WEIR)"
89012,1994-02-14,"13:20:00",0,2,"ZZEZE01 ZEVENFONTEIN SPRUIT AT ZEVENFONTEIN 484 JS (WEIR)"
89012,1994-05-16,"13:00:00",0,3,"ZZEZE01 ZEVENFONTEIN SPRUIT AT ZEVENFONTEIN 484 JS (WEIR)"
89012,1994-08-08,"13:10:00",0,7,"ZZEZE01 ZEVENFONTEIN SPRUIT AT ZEVENFONTEIN 484 JS (WEIR)"
90169,1994-08-30,"12:25:00",0,9,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-09-12,"12:35:00",0,9,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-09-27,"12:57:00",0,18,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-10-11,"11:25:00",0,14,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-10-25,"12:25:00",0,8,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-11-08,"11:30:00",0,3,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-11-22,"11:42:00",0,4,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-12-06,"12:41:00",0,9,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1994-12-20,"13:00:00",0,10,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1995-01-03,"13:55:00",0,2,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90169,1995-01-17,"11:35:00",0,9,"A2H023 NIETGEDACHT 535 JQ DWJ26 ON JUKSKEIRIVIER"
90178,1999-11-09,"10:30:00",0,9.34,"A2H032 MOEDWIL ON SELONSRIVIER"
90178,2000-03-14,"09:40:00",0,1.25,"A2H032 MOEDWIL ON SELONSRIVIER"
90186,1994-08-30,"11:30:00",0,91,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-09-12,"10:50:00",0,94,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-09-27,"11:45:00",0,126,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-10-11,"12:00:00",0,2,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-10-25,"11:15:00",0,33,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-11-08,"10:24:00",0,9,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-11-22,"10:20:00",0,22,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-12-06,"10:26:00",0,3,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1994-12-20,"10:11:00",0,6,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1995-01-03,"10:08:00",0,1,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,1995-01-17,"10:10:00",0,17,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2005-10-20,"10:50:00",0,29.35,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2005-10-27,"09:15:00",0,26.43,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2005-12-08,"10:30:00",0,44.35,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-02-09,"10:00:00",0,23.11,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-02-16,"09:06:00",0,14.19,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-02-23,"09:51:00",0,11.26,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-02-28,"08:41:00",0,8.07,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-03-09,"09:15:00",0,8.67,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-03-16,"09:01:00",0,68.65,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-03-22,"09:45:00",0,25.93,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-03-30,"09:45:00",0,8.26,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-04-03,"08:51:00",0,15.34,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-05-11,"09:25:00",0,40.76,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-05-25,"09:00:00",0,33.25,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-06-01,"09:15:00",0,60.29,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-06-08,"09:35:00",0,196.71,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-06-12,"09:40:00",0,56.07,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-06-22,"09:20:00",0,108.5,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
90186,2006-06-29,"09:15:00",0,55.442,"A2H040Q01 DWJ37 AT WATERVAL D/S R101 ON JUKSKEI"
